gene_id	orgP10_1	orgP10_2	orgP10_3	P27RE_1	P27RE_2	P27RE_3	P29_1	P29_2	P29_3	P42RE_1	P42RE_2	P42RE_3	P11_1	P11_2	P11_3	p26RE1	p26RE2	p26RE3	P12_1	P12_2	P12_3	P16RE_1	P16RE_2	P16RE_3				
ABCA4	0.168800618	0.172926051	0.20564366	0.014898522	0.020430315	0	0.270628788	0.268837234	0.371149845	0.050015397	0.116013841	0.081586534	0.473631792	0.492486552	0.356009941	1.134619828	1.219175836	1.320281977	0.021537849	0.015009553	0.041486505	0.036209369	0.024623473	0.057748356				
ABCA5	3.247990231	3.190775998	3.235195085	1.809412752	1.393539144	2.032795594	6.866731653	7.161617556	6.053308273	1.73180177	2.019298111	2.244395102	2.327397845	3.272104705	3.043677605	3.690997912	3.663444894	3.675739482	2.254089708	2.46179066	2.378301939	1.234909339	1.12985121	1.43201456				
ABCA6	0.109958149	0.089490584	0.028067394	0.078287185	0.026025472	0.082203265	0.132594097	0.152719743	0.118198738	0	0.015834216	0.017321711	1.03071123	1.372890595	1.232976918	0.089505802	0.035566395	0.034323705	0.123463443	0.071700563	0.079272337	0.08072026	0.082338351	0.062069316				
ABCA7	3.521257711	3.527153533	3.068383808	1.32032141	1.106449834	1.459948448	3.858133067	3.809792173	3.577850804	1.609387999	1.634860036	1.606728355	6.204446883	5.686898771	6.056462756	3.799768794	4.241661427	3.657580279	7.059178789	6.516205779	7.169319808	4.393149683	4.033091908	4.188606214				
ABCA8	0.018077056	0.059414655	0.077865694	0	0	0.008446356	0	0	0	0	0	0	0.061993291	0.015894537	0.037444709	0	0	0	0.634291203	0.415510467	0.469163745	0.845985709	0.877447305	0.833339704				
ABCA9	0	0.014597809	0.02975951	0.022638254	0.006898621	0.058106069	0.042176364	0.029441246	0.095836503	0.008444248	0.016788823	0	0.046646051	0.034170396	0.070839466	0.010544655	0	0.0181965	0.087271172	0.053216253	0.025215443	0.006113335	0.024943524	0.00731237				
ABCB1	1.612552477	1.696874256	1.926696703	10.58155454	7.521689564	13.91481338	18.86590361	20.63127493	18.64654513	16.73645424	19.13271397	18.82220428	14.87432693	14.41996014	13.80629162	8.114634289	9.044530731	9.116746191	23.90603923	23.17772985	22.66953996	35.97199332	34.08721555	35.80769378				
ABCB10	6.499588266	7.375142769	6.843597726	7.582836469	8.83593597	7.54158319	9.571658433	9.24263343	8.168258626	14.60519944	13.92233162	14.70548141	7.420588908	7.867464777	7.458618016	8.567925255	7.975666495	8.648025838	10.18662626	9.822018122	9.898669005	12.26917733	12.8106169	12.3621408				
ABCB11	0	0.009380785	0	0.019396938	0.008866328	0.037339887	0.767924122	0.586501845	0.63481022	0.1302338	0.172620254	0.177034224	0	0.035133507	0.016553662	0.040656981	0	0	0.056081848	0.019541493	0.021605128	0	0	0				
ABCB4	1.252584318	1.269301814	1.524130535	0.240471481	0.12562213	0.145488291	1.542441776	1.588248274	2.550615862	0.99180097	0.978304588	0.994959235	2.517901859	2.582271873	2.450940295	1.526522981	1.587995001	1.457955873	2.767831837	2.637212228	2.885097881	3.812787763	4.082259034	4.194426053				
ABCB5	0	0.013400781	0.006829804	0	0	0	0.00645298	0	0	0	0	0	0.024469172	0.012547363	0.005911872	0.038719951	0.043272899	0.033408755	0	0	0	0	0	0				
ABCB6	13.42039752	12.79337591	13.41154118	15.35937773	18.907723	14.81821156	31.0528844	27.70745128	33.02177497	26.21245341	25.02102588	24.81977576	37.93638999	39.14969988	38.89556424	38.8181815	35.26592068	35.82725244	24.16453257	26.34345073	26.17093018	20.61757911	21.26783949	21.72633983				
ABCB7	16.14312854	17.20987569	17.47557155	21.85186492	19.91509947	19.77392738	16.02822651	17.86056824	13.59301575	14.40920842	14.49977142	14.76419587	10.15617263	9.660157458	10.56569309	9.516611976	8.536684435	8.700633736	17.21304868	15.81242728	16.25147106	17.15484698	19.02683741	18.59648009				
ABCB8	2.777884217	2.954214236	2.920366436	5.278683105	6.111231416	4.969903482	5.776151713	5.058795681	5.15693333	7.944747696	7.051660408	7.265285158	11.63326206	11.24175589	10.91802308	10.951654	10.09392329	10.54722151	10.71902568	11.59979122	11.52816324	9.299850717	8.571932788	8.756138749				
ABCB9	1.832503893	1.822075294	1.841393304	1.964284043	2.171086373	1.968149149	3.779559632	4.177347526	5.261462822	3.792589539	4.647831845	4.339912572	3.625599317	3.463110956	3.366444499	2.092368125	1.961240905	1.980071205	1.20258019	1.330095676	1.425723324	0.90653753	0.731784628	0.982927457				
ABCC1	12.90357148	12.68128715	13.13993459	16.07075231	18.07440658	16.31738745	23.82725189	20.43597478	23.58664638	21.44643217	21.05377785	20.99405567	18.89793121	17.91884544	20.41946403	21.58981462	22.9541648	22.14313371	8.522173615	8.599801423	8.442272587	6.727726573	7.288797587	6.547909035				
ABCC10	4.437679409	4.004822832	4.073892869	7.39065724	8.115513409	7.356167495	4.404584916	3.727230903	2.732187805	4.755434353	4.932906671	5.426973519	5.569747333	4.921109223	5.268034917	8.989589233	9.705635807	9.072867682	8.385481974	8.274920221	8.072998148	7.974152314	6.412811808	6.730422968				
ABCC11	0.088372192	0.116182708	0.129705427	0.068638447	0.052290985	0.033032944	0.111892686	0.078106783	0.122934791	0.006400671	0	0.013921274	0.020204186	0.04144141	0.08298432	0.023978286	0.042876499	0.048274793	0.159864518	0.138299947	0.14016273	0.092677161	0.070901201	0.105311612				
ABCC12	0	0	0	0.010559846	0	0	0	0	0	0	0	0	0	0	0	0.014755988	0	0	0	0	0	0	0	0				
ABCC2	15.37568443	14.96691321	15.13063722	22.47399222	27.06151853	21.78284	151.7433851	139.6287614	167.1624448	303.1680489	321.0797207	332.1118005	90.56562613	84.25187062	84.00759523	75.97677406	72.76852329	74.89690216	72.19347567	69.03202429	70.6407449	70.62229305	62.87870924	66.04403204				
ABCC3	5.205269048	4.473989155	5.216194289	37.53155726	37.847974	34.83707102	218.4519925	205.6333668	211.1296352	84.15140228	88.10285311	86.20089368	15.81870799	17.06784973	15.3397082	40.38369389	43.23146682	40.12623369	49.93544487	52.09928017	52.27870895	54.22088736	50.39237564	50.97162156				
ABCC4	7.947825641	7.617106041	7.859491596	13.72786945	13.64157987	14.71471706	23.60200755	24.54480206	32.85046814	15.71708695	15.83162905	15.10992515	21.22229232	23.97757678	22.91283751	38.85763045	39.40636961	38.49551767	13.69596347	13.28781631	13.2995862	17.74168873	17.36157578	16.55981409				
ABCC5	6.503669265	6.98652607	6.574323592	5.947172776	6.543452456	6.11542529	11.09213484	10.135351	11.40656318	9.867630466	10.13021662	10.7840818	4.711544123	4.230468544	4.475016008	7.681459773	7.730321438	7.02293677	9.719772951	8.967430739	9.398496247	8.743914651	7.503676608	7.8547579				
ABCC6	9.40231653	9.09988163	8.359426746	3.478676843	3.074947109	3.031672753	3.071951074	2.807477443	3.366306593	2.015380807	1.857113059	2.121643308	9.876607504	10.53873522	10.34503868	12.5834152	12.18541366	12.18601701	5.722407767	5.443317413	5.431903928	4.85688447	4.077566983	4.669902293				
ABCC8	0.04437913	0.041675096	0.016992008	0.051703728	0.031511656	0.082943133	0.080272504	0.02521543	0	0.135001293	0.086274352	0.115352254	0	0.00780421	0.022062401	0	0.010765953	0	0.099659738	0	0.009598299	0.069811526	0.028484378	0.016700792				
ABCC9	0	0.011234581	0	0	0	0.005589857	0.005409873	0	0.028367875	0	0.006460401	0	0.020513796	0.005259557	0	0.073037192	0.01451118	0.035010398	0.005597044	0	0	0	0.009598359	0				
ABCD1	1.273329772	1.584722836	1.585960984	1.05750634	0.857839034	0.731146887	4.065261197	4.401916216	4.365277046	2.483420057	2.336212434	2.320050259	4.432509756	4.50535931	5.262424631	1.061464554	1.097889197	1.167277639	7.263451369	7.592760822	6.13832704	4.199140452	3.458653746	3.261891639				
ABCD2	0	0	0	0.005810923	0	0	0	0	0.005676898	0	0.003232092	0	0.015394357	0.007893956	0.002479568	0.02029999	0.007259839	0.014012361	0.005600322	0.008781343	0.003236226	0	0	0				
ABCD3	46.50067069	45.45671605	46.08483023	36.98616641	40.03313319	36.39266595	37.1448125	35.91495667	39.50007812	24.92661925	23.29950342	23.22164537	46.4800819	48.23063156	47.03870945	49.71792751	50.18181391	53.56157197	60.82605513	61.59239808	62.12679226	56.5091889	60.02930303	59.26782399				
ABCD4	11.35454238	11.13023704	11.29909092	7.078934675	6.100935647	7.428943896	15.32359674	14.12870243	18.64487154	14.70885651	15.36789416	14.74333938	8.289029994	8.444453921	7.811079709	13.334421	14.55172647	13.78009478	4.974024622	4.806822106	5.244965825	5.785408853	4.703065758	4.578161824				
ABCE1	23.85667106	22.54152301	24.96540514	49.08212465	51.80604669	46.39086558	12.72732611	12.26036244	10.60189861	18.01194675	16.38576357	17.62420868	23.9466382	24.85344433	23.49785665	41.72967946	38.69104824	39.56698248	41.81047973	42.99818117	44.64019207	44.97063781	45.52800901	42.50567153				
ABCF1	21.06275011	21.12036615	20.78272249	25.38035855	28.73331514	25.0053361	13.48695559	12.18568402	10.4505203	16.80097162	15.51008117	15.66343689	34.0293641	29.52031844	34.0832573	49.84129573	47.98635727	48.13322951	30.77682723	29.44222981	31.42834173	32.27807067	30.20413012	29.95281714				
ABCF2	5.379785363	5.39899906	5.035134243	8.54686017	9.858551261	8.541367409	6.192390455	5.732595357	5.844812246	18.58512955	18.19373502	19.11961179	15.68197886	15.86309782	15.10134256	19.74298638	21.14500601	21.9074034	14.75560013	15.32891485	14.72639072	20.11407352	18.32864782	18.24117833				
ABCF3	17.35994321	15.44946644	16.56593266	19.62010719	19.485395	17.35400229	14.34760532	13.79219315	14.9118712	15.86202578	14.97999123	14.93573692	21.95126579	21.24436216	21.92225576	22.17475777	24.14510992	22.3844266	21.87449953	21.69942011	22.41207993	21.81873128	22.29895711	21.96062344				
